date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Y-W,province
2021-05-24,15.285714285714286,24.857142857142858,0.0,-15.714285714285714,-3.0,1.0,2021-21,Kainuu
2021-05-31,29.571428571428573,39.42857142857143,0.0,-2.2857142857142856,2.0,-0.8571428571428571,2021-22,Kainuu
2021-06-07,33.142857142857146,41.857142857142854,0.0,-6.714285714285714,-18.0,-0.2857142857142857,2021-23,Kainuu
2021-06-14,36.857142857142854,40.714285714285715,0.0,-7.142857142857143,-18.428571428571427,0.8571428571428571,2021-24,Kainuu
2021-06-21,26.0,46.714285714285715,0.0,-4.428571428571429,-35.57142857142857,-0.5714285714285714,2021-25,Kainuu
2021-06-28,47.57142857142857,53.714285714285715,0.0,-2.7142857142857144,-25.428571428571427,0.0,2021-26,Kainuu
2021-07-05,53.57142857142857,63.42857142857143,0.0,-0.42857142857142855,-27.428571428571427,0.2857142857142857,2021-27,Kainuu
2021-07-12,65.14285714285714,65.71428571428571,0.0,-0.14285714285714285,-28.714285714285715,0.2857142857142857,2021-28,Kainuu
2021-07-19,58.714285714285715,59.714285714285715,0.0,-0.8571428571428571,-30.285714285714285,1.7142857142857142,2021-29,Kainuu
2021-07-26,40.857142857142854,47.857142857142854,0.0,-2.0,-27.857142857142858,1.4285714285714286,2021-30,Kainuu
2021-08-02,39.714285714285715,39.42857142857143,0.0,-4.714285714285714,-20.571428571428573,2.0,2021-31,Kainuu
2021-08-09,28.0,32.57142857142857,0.0,-6.428571428571429,-15.0,0.0,2021-32,Kainuu
2021-08-16,21.428571428571427,26.285714285714285,0.0,-12.714285714285714,-11.142857142857142,1.5714285714285714,2021-33,Kainuu
2021-08-23,16.142857142857142,24.428571428571427,0.0,-13.0,-5.571428571428571,0.7142857142857143,2021-34,Kainuu
2021-08-30,19.0,23.857142857142858,0.0,-14.571428571428571,-3.142857142857143,0.7142857142857143,2021-35,Kainuu
2021-09-06,20.857142857142858,24.857142857142858,0.0,-15.428571428571429,-1.5714285714285714,0.5714285714285714,2021-36,Kainuu
2021-09-13,21.428571428571427,19.857142857142858,0.0,-23.285714285714285,-4.285714285714286,0.7142857142857143,2021-37,Kainuu
2021-09-20,20.0,16.142857142857142,0.0,-16.428571428571427,-3.5714285714285716,1.1428571428571428,2021-38,Kainuu
2021-09-27,13.714285714285714,12.285714285714286,0.0,-21.571428571428573,-9.571428571428571,0.7142857142857143,2021-39,Kainuu
2021-10-04,7.0,7.428571428571429,0.0,-23.285714285714285,-9.571428571428571,2.142857142857143,2021-40,Kainuu
2021-10-11,8.285714285714286,8.571428571428571,0.0,-18.0,-14.714285714285714,1.7142857142857142,2021-41,Kainuu
2021-10-18,12.428571428571429,11.714285714285714,0.0,-14.857142857142858,-24.285714285714285,3.4285714285714284,2021-42,Kainuu
2021-10-25,13.857142857142858,10.714285714285714,0.0,-30.285714285714285,-10.0,2.5714285714285716,2021-43,Kainuu
2021-11-01,4.0,4.857142857142857,0.0,-31.428571428571427,-10.857142857142858,2.4285714285714284,2021-44,Kainuu
2021-11-08,5.0,5.714285714285714,6.142857142857143,-29.428571428571427,-12.285714285714286,3.142857142857143,2021-45,Kainuu
